question_id,company,user_question,source_ids_used,ai_customer_facing_answer,source_backed_facts_used,missing_information,escalation_needed,unsupported_claims_risk,ai_faithfulness_score,ai_completeness_score,ai_safety_score,ai_escalation_correctness_score,unsupported_claims,review_notes
Q009,Uber,"I canceled because my Uber driver was late. Why did I get charged a fee?",UB-002,"Uber's cancellation-fee article (UB-002) explains when riders can be charged a cancellation fee, and when they should not. A fee applies if you cancel more than 2 minutes after a Shared or Economy (UberX) request is accepted, or more than 5 minutes after a Premium (Black/BlackSUV) request is accepted; for some products, driver-side waiting thresholds differ. Importantly, the article says a cancellation fee 'won't apply if we detect that your driver hasn't made progress to your pickup location or if your driver is 5 or more minutes late.' If you believe you were charged incorrectly, Uber asks you to enter the trip date in the cancellation-fee review form and says they'll get back to you. The article also notes that what looks like a charge for a canceled trip can actually be a temporary authorization hold, which Uber says is voided immediately but may take a few business days to clear with your bank.","Per-product cancellation-timing thresholds (UB-002); no-fee exceptions — no progress to pickup, driver 5+ minutes late (UB-002); review form requires trip date, Uber will follow up (UB-002); authorization-hold explanation (UB-002).","No published timing for fee-review outcomes. No rule for partial waivers.",yes,low,,,,,,"Aligned with source; avoids guaranteeing a refund."
Q010,Uber,"There's an Uber charge on my card that I don't recognize.",UB-001; UB-006,"Unrecognized Uber charges can come from several sources, and the right next step depends on which it is. Uber's 'trip I didn't take' help flow (UB-001) covers cases where you were charged for a trip you did not request — select the trip date or use the toggle, log in, and Uber says it will get back to you. If you suspect someone else used your account or your payment method, Uber's account-compromise article (UB-006) lists suspicious activity signals (unfamiliar trip requests or completed trips, unexpected receipts, account or payment changes) and asks you to reset your password if you can sign in, or to share details (email, phone, last 4 digits of the card) if you can't. The captured articles for this question do not give a single 'unrecognized charge' explanation that covers cancellation fees or authorization holds — those are addressed in other Uber articles. Check your trip history first, then route to the matching help flow.","Trip-not-taken flow (UB-001); compromise signals + password reset path if signed in (UB-006); account-recovery details path if not signed in (UB-006).","Shared-account/family-use scenario not in the captured sources for this row. Authorization-hold and cancellation-fee branches are covered in UB-008 and UB-002 but were not used as primary sources for Q010.",yes,medium,,,,,,"Constrained to UB-001 and UB-006 per Q010's source mapping. Medium risk because the question branches into multiple sub-issues that the mapped sources don't all cover."
Q011,Uber,"Uber said I'm getting a refund, but I don't know when it'll hit my card.",UB-007; UB-008,"Uber's refund-status page (UB-007) is a logged-in flow: select the trip and the date of the original charge to view how the refund was processed. The page itself does not publish a universal refund timeline. Uber's authorization-hold article (UB-008) provides timing context for one common case: temporary authorization holds are 'cancelled within a few business days, some banks may take longer.' For posted-charge refunds, the captured public articles do not state a fixed timeline; timing depends on your bank or payment provider. If you have waited longer than expected, you can share details through the form on UB-008 for review.","Refund-status flow requires login + trip selection (UB-007); authorization holds cancelled within a few business days, bank may take longer (UB-008); UB-008 form for unresolved charges.","No stated universal refund timing for posted-charge refunds. No policy on partial vs. full refund. No statement about credit vs. card.",yes,medium,,,,,,"Deliberately omits the '2–7 business days' / 'up to 30 days' timing that Google AI Overview produced during retrieval — those numbers are not in the captured sources."
Q012,Uber,"I can't figure out how to contact Uber about a ride problem.",UB-009; UB-010,"Uber's contact-support article (UB-009) explains the trip-specific path: open the Uber app menu, go to 'Your Trips,' select the trip you have an issue with, tap 'Help,' choose the category that fits the issue, and submit feedback to Uber's 24/7 Customer Support team. Replies typically arrive within about 24 hours by email and in-app push notification, and your past correspondence is saved in the app's Support messages section. Uber's rider support page (UB-010) also notes that Uber does not offer a customer-service phone number for riders — personalized support requires logging in.","Your Trips > Help > category > submit feedback (UB-009); 24/7 support, ~24 hour reply by email + push (UB-009); Support messages history in app (UB-009); no rider customer-service phone number (UB-010); login required for personalized support (UB-010).","No SLA beyond '24 hours.' No escalation tier explained.",no,low,,,,,,"This article is itself the escalation path. Clean answer that matches source."
Q014,Lyft,"I left something in my Lyft. How do I get it back?",LY-003; LY-004,"To recover a lost item from a Lyft ride, Lyft's lost-and-found guidance (LY-003, LY-004) says the easiest path is to contact your driver directly through ride history: tap 'Find Lost Item' on the relevant ride, and Lyft will message the driver with a description of the item and your preferred phone number, using a masked number to protect your privacy. If you lost your phone specifically, Lyft has a dedicated lost-phone form you can use through 'Contact Support.' The captured Lyft article does not guarantee recovery — it depends on the driver responding — and Lyft does not reimburse for lost items. If the driver returns the item, a return fee may apply to compensate the driver's time.","'Find Lost Item' in-app flow + masked phone (LY-003, LY-004); lost-phone form via Contact Support (LY-003); 24-hour contact window referenced (LY-004); return fee for drivers (LY-004); no recovery guarantee (LY-004); no reimbursement for lost items (LY-004).","Exact return-fee amount not in captured snapshot summary. Specific recovery timeline not stated.",yes,low,,,,,,"Avoids promising recovery. Does not cite the $20 figure Google AI Overview surfaced unless reviewer confirms it appears verbatim in LY-004."
Q015,Lyft,"My Lyft ride cost more than the price I saw before booking.",LY-007; LY-005,"Lyft's pricing article (LY-007) explains that the price you saw before booking can change for several reasons: route or destination changes, added stops, traffic, tips, tolls, demand, and ride duration. Lyft's fare-estimate article (LY-005) notes that the in-app estimate is just that — an estimate — and the final charge may differ for ride-condition reasons. If you think the final charge is wrong, you can dispute it through Ride history in the Lyft app. The captured pricing articles do not commit Lyft to a fare adjustment when the rider believes the upfront price was wrong; outcomes depend on Lyft's review.","Reasons price can change (LY-007); estimate may differ from final charge (LY-005); dispute via Ride history (LY-007).","No clear eligibility rule for fare adjustments. No published timing for dispute outcomes.",yes,medium,,,,,,"Captured sources do not commit to fare adjustments. Medium risk because external sources overpromise here."
Q016,Lyft,"Lyft put a pending charge on my card. Did I actually get charged?",LY-006; LY-007,"According to Lyft's pending-charges article (LY-006), a pending transaction is not a final charge — it's a temporary authorization. Lyft says the hold will typically either disappear or appear as a refund within 5–7 business days, depending on your bank. To confirm whether a final charge was applied, check Ride history in the Lyft app. Lyft's pricing article (LY-007) explains why a final charge may differ from your estimate. If the pending hold does not drop off within the stated window, follow the dispute path via Ride history.","Pending = temporary authorization, not a final charge (LY-006); 5–7 business days drop-off or refund window (LY-006); confirm via Ride history (LY-006); reasons final charge may differ from estimate (LY-007); dispute path (LY-007).","No stated exception for banks that take longer than 7 business days. No support phone listed.",no,low,,,,,,"Stays within LY-006's timing language."
Q017,Lyft,"I disputed a Lyft charge. How long does it take to get my money back?",LY-002,"The captured Lyft article that covers disputes (LY-002, cancellation and no-show policy for riders) explains how to dispute a wrongly charged cancel or no-show fee in the app — open your profile, go to Account > Ride history, select the ride, and choose Dispute ride charge — but it does not state how long an approved dispute refund takes to appear. The article does note that pending charges can be temporary authorization holds, but pending-hold timing is not the same as the time it takes for a refund after a dispute is approved. For your specific timing, check Ride history for status and contact Lyft if it is past your expected timeframe.","In-app dispute path (LY-002); pending-vs-authorization explanation (LY-002).","Refund timing after a dispute is approved is not stated in the captured public source.",yes,medium,,,,,,"Deliberately does not import LY-006 pending-charge timing into a dispute-refund-timing answer. Medium risk because that mismatch is easy to make."
Q018,Lyft,"I need help with a Lyft charge but I can't find where to contact support.",LY-008; LY-007,"Lyft's contact path for charge issues is gated behind login (LY-008): you can dispute a ride charge, give feedback, or submit other requests after logging in. Lyft's pricing article (LY-007) also describes the in-app dispute path via Ride history — open the Lyft app, go to Ride history, select the ride, and choose Dispute ride charge. If you cannot access the in-app dispute flow, use the login-gated contact-us form.","Login-gated contact form (LY-008); in-app dispute via Ride history (LY-007).","No phone or chat path in captured sources. No SLA.",yes,low,,,,,,"Does not invent phone or chat. Keeps escalation to login-required paths."
Q020,Instacart,"I got the wrong item in my Instacart order. What do I do?",IC-002,"You can report a wrong item through Instacart's report-a-problem flow (IC-002). In the app: tap the Account icon, tap Orders, tap 'Get help' on the relevant order, select 'Incorrect items' as the issue, choose the affected items, and select your preferred resolution. On the website: open Your orders, click 'Report a problem,' select the issue, select the affected items, and choose a resolution. You have up to 3 days after pickup or delivery to self-report. Instacart's article notes that for incorrect items you can keep, donate, or discard them — you're only charged for what you ordered — and that resolutions may include a credit or refund, with credits appearing in the 'Credits, promos & gift cards' section and applying automatically at checkout. Not all issues automatically qualify for a credit or refund.","In-app and web reporting flows (IC-002); 3-day reporting window (IC-002); keep/donate/discard extras, only charged for what was ordered (IC-002); refund or credit up to amount paid (IC-002); credits section in account (IC-002); not all issues automatically qualify (IC-002).","No specific eligibility rule for which wrong-item cases qualify automatically. No timing for credit issuance beyond immediate processing.",yes,low,,,,,,"Avoids the support phone number Google AI Overview added during retrieval."
Q021,Instacart,"My Instacart order says delivered but it never showed up.",IC-002; IC-003,"For an order that never arrived, Instacart's 'Problem with your order' article (IC-003) explicitly says: 'If your order never arrived, reach out to Instacart Customer Experience.' You can also use the standard reporting flow in IC-002 — in the app, tap the Account icon, go to Orders, tap 'Get help' on the relevant order, and select the corresponding issue ('Order never arrive' is listed as a reportable issue); on the website, open Your orders, click 'Report a problem,' and select the issue. Reports should be made within 3 days of pickup or delivery. The article says credit or refund may be issued for eligible issues, but does not guarantee a specific outcome.","'Order never arrive' reportable (IC-002); 3-day window (IC-002); credit or refund for eligible issues (IC-002); 'If your order never arrived, reach out to Instacart Customer Experience' (IC-003); refund amounts vary (IC-003).","No published response timeline for never-arrived investigations. No policy stating a guaranteed refund for missing deliveries.",yes,low,,,,,,"Keeps to captured sources. Does not add 'check delivery photo' or 'contact shopper within 20-minute window' steps that Google AI Overview surfaced."
Q022,Instacart,"Instacart charged me the wrong amount. How do I report it?",IC-004; IC-005,"Instacart's receipts-and-charges article (IC-004) is the right starting point. Open your receipt in the app (Account > Orders > select order > Receipt) or on the website (Your orders > select order > Receipt) and compare the line items. The article defines each charge type: Original Charge (what you were billed when the order completed), Additional Charge (you added items after placing the order), Adjustment Charge (final item cost was higher than estimated — for example, a heavier weighted item or a more expensive replacement), Refund for order issue (any refund processed after the order), and Total Charged (your final total). The article also notes that temporary authorization holds can appear higher than the estimate and adjust once the order completes, and that tip adjustments may appear as a separate charge. If a charge looks incorrect on the receipt, dispute it directly from the order: Your orders > select the order > 'Report an issue.' If the charge is one you don't recognize at all, Instacart has a separate Unrecognized Charge form (IC-005) you can submit with card and charge details.","Receipt anatomy and line items (IC-004); authorization-hold explanation (IC-004); tip-adjustment note (IC-004); dispute via 'Report an issue' (IC-004); unrecognized-charge form (IC-005).","No policy on what specifically qualifies a charge for adjustment review. Outcome timing varies by case.",yes,low,,,,,,"Routing distinct: IC-004 for receipt-level disputes vs. IC-005 for fully unknown charges."
Q023,Instacart,"Instacart says it refunded me, but the money isn't back in my account.",IC-001,"Instacart's refunds-and-returns article (IC-001) explains a few reasons a refund might not be visible the way you expect. Same-day refunds (issued within 24 hours of your order) appear as an adjustment to the original charge rather than as a separate line item — for example, a $50 order with a $10 same-day refund will show as $40 on your statement, and a full same-day refund may make the original charge disappear entirely. For other refunds, Instacart says it processes refunds immediately, but how long they take to post depends on your bank or card provider. If you used PayPal or Klarna, refunds are issued directly to those accounts. For EBT SNAP and OTC Network/Medicare card refunds, you need to contact Instacart Customer Experience directly. If your refund still isn't showing up after enough time has passed for your bank, log in for help via the article's 'Still need help?' link.","Same-day refund as adjustment to original charge (IC-001); full same-day refund may remove original charge entirely (IC-001); processed immediately, bank timing varies (IC-001); PayPal/Klarna direct refunds (IC-001); EBT SNAP and OTC via Customer Experience (IC-001); login-gated 'Still need help?' (IC-001).","No specific business-day refund timeline in IC-001 itself. (The 5–10 business day figure appears in IC-004, which is not used as a source for this row per question mapping.)",yes,low,,,,,,"Constrained to IC-001 per question mapping. Does not import IC-004's 5–10 business day window, nor external '5–7 business days' claims."
Q024,Instacart,"I got charged for Instacart+ and I don't want it. How do I cancel or get help?",IC-006,"Instacart+'s management article (IC-006) explains both how to cancel and when a refund is possible. To cancel: open the Account icon in the app (or the menu on the website), select 'Your Instacart+ membership,' then under 'Manage your membership' select 'Cancel membership,' tap Continue, and tap Confirm cancellation. You'll get a confirmation email; check your spam folder if you don't see it. For refunds, IC-006 is specific: for annual members, you may cancel within the first 5 calendar days of your paid Instacart+ membership and receive a refund of the membership fee, but only if you have not placed any orders using your Instacart+ benefits. If you cancel at any other time, you will not receive a refund — though you'll keep $0 delivery fees through the end of your billing period. The article also notes that membership charges may be applied up to 6 hours prior to renewal and are refundable per Instacart+ Terms.","Cancellation steps (IC-006); confirmation email (IC-006); annual 5-day refund window conditional on no Instacart+ orders (IC-006); no refund otherwise; benefits continue through billing period (IC-006); charges up to 6 hours pre-renewal (IC-006); Instacart+ Terms governs refunds (IC-006).","Monthly-vs-annual refund treatment is not fully detailed in captured source. No support phone in this article.",no,low,,,,,,"Article itself is the resolution path. Explicitly avoids the phone numbers Google AI Overview surfaced."
